sample_index,token_id_uint64,mask_id,SALMONELLA_occurrences,DEINOCOCCUS_occurrences,THERMOCOCCUS_occurrences,METHANOSARCINA_occurrences,KLUYVEROMYCES_occurrences,ARABIDOPSIS_occurrences,DROSOPHILA_occurrences,CBRIGGSAE_occurrences
424,13417589814,49,0,0,0,0,1,3,4,2
425,13426434603,50,1,0,0,0,0,1,1,1
426,13457096669,50,0,0,0,0,0,0,2,0
427,13548290575,50,0,0,0,0,0,1,0,0
428,13637110784,50,0,0,0,1,0,3,0,0
429,13658799616,50,0,0,0,0,1,4,1,2
430,13686062528,50,0,0,0,0,0,14,8,69
431,13693330144,51,0,0,0,0,0,1,2,0
432,13694142656,51,0,0,0,0,0,21,14,28
433,13702791232,51,0,0,0,2,4,68,110,67
434,13706248391,51,0,0,0,0,0,4,5,2
435,13706452214,51,0,0,0,2,0,1,1,0
436,13723749244,51,0,0,0,2,1,2,1,18
437,13819313132,51,0,0,0,0,0,3,0,2
438,13872739299,51,0,0,0,0,0,0,1,0
439,13890735059,51,0,0,0,0,0,3,1,0
440,13904904136,51,1,0,0,1,0,10,0,12
441,13948870519,51,0,0,0,0,0,3,2,0
442,14021804287,52,0,0,0,0,0,32,34,15
443,14041604088,52,0,0,0,0,0,2,0,2
444,14092308735,52,0,0,1,0,0,1,0,0
445,14094761947,52,0,0,0,10,0,0,1,0
446,14118552462,52,0,0,0,0,0,0,0,0
447,14167048185,52,0,0,0,0,0,1,3,5
448,14195593340,52,0,0,0,0,0,0,0,0
449,14340291333,53,0,0,0,0,0,0,0,1
450,14363406338,53,0,0,0,2,1,11,4,5
451,14443618495,53,0,0,0,0,1,2,0,3
452,14453009463,53,0,0,0,0,0,0,0,1
453,14478941567,53,0,0,0,1,0,3,2,2
454,14496432130,54,1,0,0,1,3,63,35,19
455,14562490367,54,0,0,0,2,2,55,10,21
456,14579809983,54,0,0,0,0,0,1,1,1
457,14663283187,54,0,0,0,1,0,2,9,7
458,14692856752,54,0,0,0,0,0,6,3,2
459,14725430794,54,0,0,0,0,0,0,0,0
460,14730928256,54,0,0,0,0,2,18,6,11
461,14747201539,54,0,0,0,0,0,13,12,17
462,14763818353,54,0,0,0,1,2,8,3,10
463,14814257919,55,0,0,0,0,1,0,1,10
464,15031827711,55,0,0,2,0,2,24,14,27
465,15035564039,56,0,0,1,2,0,9,3,8
466,15048117132,56,0,0,0,0,0,5,6,8
467,15063830591,56,0,0,0,0,0,8,5,7
468,15179149826,56,0,0,0,0,0,3,1,0
469,15231658047,56,0,0,0,0,0,1,0,0
470,15234530081,56,0,0,0,0,0,1,2,0
471,15242177776,56,0,0,0,0,0,4,0,0
472,15250518300,56,0,0,0,0,0,6,2,5
473,15301543984,57,0,0,0,0,1,11,7,5
474,15313764352,57,0,0,0,0,1,4,6,0
475,15354299343,57,0,0,0,0,1,23,34,9
476,15409872651,57,0,0,0,0,1,1,4,4
477,15450779820,57,1,0,0,0,0,2,2,1
478,15468638208,57,0,0,0,0,5,7,28,19
479,15503393804,57,0,0,0,0,0,6,15,1
480,15506277119,57,0,0,0,0,0,16,11,28
481,15511075872,57,0,0,0,0,1,9,0,3
482,15514685693,57,0,0,0,0,0,6,1,1
