sample_index,token_id_uint64,mask_id,PSEUDOMONAS_occurrences,MYCOPLASMA_occurrences,METHANOCALDOCOCCUS_occurrences,HALOFERAX_occurrences,NEUROSPORA_occurrences,CELEGANS_occurrences
441,13948870519,51,1,0,0,0,0,2
442,14021804287,52,0,0,0,0,15,31
443,14041604088,52,0,0,0,0,1,0
444,14092308735,52,0,0,0,0,1,1
445,14094761947,52,0,0,0,0,0,2
446,14118552462,52,0,0,0,0,0,1
447,14167048185,52,0,0,0,0,0,4
448,14195593340,52,0,0,0,0,0,0
449,14340291333,53,0,0,0,0,0,0
450,14363406338,53,0,0,0,0,3,15
451,14443618495,53,0,0,0,0,0,1
452,14453009463,53,0,0,0,0,1,0
453,14478941567,53,0,0,0,0,0,5
454,14496432130,54,0,0,0,0,4,33
455,14562490367,54,0,0,0,0,4,19
456,14579809983,54,0,0,0,0,0,0
457,14663283187,54,0,0,0,0,0,4
458,14692856752,54,0,0,0,0,0,1
459,14725430794,54,0,0,0,0,0,0
460,14730928256,54,0,0,0,0,2,8
461,14747201539,54,0,0,1,0,2,31
462,14763818353,54,0,0,0,0,3,5
463,14814257919,55,0,0,0,0,2,12
464,15031827711,55,0,0,0,0,3,21
465,15035564039,56,0,0,0,0,2,7
466,15048117132,56,0,0,1,0,0,5
467,15063830591,56,0,0,0,0,0,2
468,15179149826,56,0,0,0,0,0,0
469,15231658047,56,0,0,0,0,0,1
470,15234530081,56,0,0,0,0,0,0
471,15242177776,56,0,0,0,0,1,4
472,15250518300,56,0,0,0,0,0,1
473,15301543984,57,0,0,1,0,0,14
474,15313764352,57,0,0,0,0,0,5
475,15354299343,57,0,0,0,0,9,17
476,15409872651,57,0,0,0,0,0,10
477,15450779820,57,0,0,0,0,0,5
478,15468638208,57,0,0,0,0,3,18
479,15503393804,57,0,0,0,0,0,4
480,15506277119,57,0,0,0,0,1,46
481,15511075872,57,0,0,4,0,0,5
482,15514685693,57,0,0,0,0,0,3
483,15555690368,57,0,0,0,0,8,8
484,15567123711,57,0,0,3,0,0,6
485,15571419328,58,0,0,0,0,2,14
486,15577825284,58,0,0,0,0,3,18
487,15594287243,58,0,0,1,0,0,5
