sample_index,token_id_uint64,mask_id,ECOLI_occurrences,PYRO_occurrences,YEAST_occurrences,all_three_present
728,23353218909,86,1,1,1,1
729,23354147010,87,2,1,1,1
730,23358013487,87,1,1,3,1
731,23370629118,87,1,1,1,1
732,23403989039,87,1,1,2,1
733,23454794508,87,1,1,1,1
734,23553168700,87,1,1,1,1
735,23609425088,87,1,1,2,1
736,23609731709,87,1,1,1,1
737,23616107201,87,1,1,1,1
738,23642425404,88,1,1,1,1
739,23874191343,88,1,1,1,1
740,23890870283,89,1,1,2,1
741,23893392904,89,1,1,2,1
742,23894935356,89,1,2,1,1
743,23908764300,89,1,1,1,1
744,23927394292,89,5,1,1,1
745,24037558283,89,1,2,1,1
746,24092790720,89,1,1,1,1
747,24143458293,89,1,1,1,1
748,24150614000,89,1,1,1,1
749,24159289864,90,1,1,1,1
750,24159596523,90,1,1,1,1
751,24161044475,90,1,1,1,1
752,24161287687,90,1,1,1,1
753,24189108264,90,1,1,1,1
754,24211929283,90,1,1,1,1
755,24260593091,90,1,1,1,1
756,24297209661,90,1,1,1,1
757,24388764396,90,1,1,1,1
758,24410882240,90,1,1,1,1
759,24478154819,91,1,1,1,1
760,24541146559,91,1,1,1,1
761,24558499837,91,1,1,3,1
762,24602679915,91,1,1,1,1
763,24617156800,91,1,1,1,1
764,24628693999,91,1,1,1,1
765,24634173519,91,1,1,1,1
766,24658592527,91,1,1,1,1
767,24681247693,91,1,1,1,1
768,24696097199,92,1,1,1,1
769,24698932076,92,1,1,1,1
770,24720246039,92,1,1,2,1
771,24890098017,92,1,1,1,1
772,24950878184,92,1,1,1,1
773,24956105601,92,1,1,1,1
774,24966578017,93,1,1,1,1
775,24967383808,93,1,1,3,1
776,24967643963,93,1,1,2,1
777,24972840951,93,1,1,3,1
778,24977060363,93,1,1,1,1
779,25166481581,93,1,1,2,1
780,25188750327,93,1,1,1,1
781,25202703808,93,1,1,1,1
782,25228945538,93,1,1,1,1
783,25229460227,93,1,1,1,1
784,25229775871,93,2,1,1,1
785,25238961393,94,1,1,1,1
786,25241014143,94,1,1,1,1
787,25250532059,94,1,1,1,1
788,25258098096,94,1,1,1,1
789,25369379006,94,2,1,1,1
790,25438444543,94,1,1,2,1
791,25440501999,94,1,1,1,1
792,25441562032,94,2,1,1,1
793,25468600363,94,1,1,1,1
794,25497493501,94,1,1,1,1
795,25498025495,94,1,1,1,1
796,25502089230,95,1,1,2,1
797,25503474208,95,1,1,2,1
798,25567493887,95,1,1,3,1
799,25624951903,95,1,1,1,1
800,25677467536,95,1,1,1,1
801,25756807872,95,1,1,1,1
802,25769814912,96,1,1,2,1
803,25794486784,96,1,1,1,1
804,25858932931,96,1,1,1,1
805,25862171656,96,1,1,1,1
806,25967189763,96,1,1,1,1
807,26021573371,96,1,1,2,1
808,26036928495,96,1,1,1,1
809,26038227122,96,1,1,1,1
