sample_index,token_id_uint64,mask_id,BACILLUS_occurrences,SULFOLOBUS_occurrences,POMBE_occurrences
581,18578703067,69,0,0,0
582,18580826683,69,1,0,0
583,18588419070,69,0,0,1
584,18642764784,69,0,0,0
585,18656251005,69,0,0,0
586,18694969782,69,0,0,0
587,18756919239,69,0,1,0
588,18790479555,69,1,0,3
589,18792514311,70,0,0,1
590,18801500795,70,0,0,0
591,18808228274,70,0,0,0
592,18812304704,70,0,0,1
593,18890096750,70,0,0,1
594,18924041727,70,0,1,2
595,19002687517,70,0,0,0
596,19058128883,70,0,2,4
597,19062079247,71,0,1,0
598,19113168835,71,0,0,0
599,19127602695,71,0,0,0
600,19159711171,71,0,0,0
601,19210857602,71,0,0,0
602,19268730571,71,0,0,0
603,19314768894,71,0,0,4
604,19338731528,72,0,0,0
605,19346227715,72,1,0,0
606,19377733762,72,0,0,1
607,19380880072,72,0,0,1
608,19457583832,72,0,0,0
609,19461358667,72,3,0,0
610,19542335487,72,0,0,0
611,19583213615,72,1,0,0
612,19592557567,72,0,0,1
613,19597688819,73,0,0,2
614,19608929283,73,0,0,0
615,19615467980,73,0,0,0
616,19797172835,73,0,0,0
617,19798965600,73,0,0,0
618,19854905341,73,1,0,0
619,19864301584,74,0,0,1
620,19906035507,74,0,0,0
621,19998428851,74,0,0,0
622,20065601532,74,0,0,0
623,20066296832,74,2,0,0
624,20102259455,74,0,0,1
625,20127882748,74,0,0,1
626,20129197373,74,0,0,0
627,20132888625,75,0,0,0
628,20134792577,75,0,0,0
629,20166938656,75,0,0,0
630,20231175553,75,0,0,0
631,20233265147,75,1,1,0
632,20262646273,75,0,1,0
633,20264746878,75,0,0,1
634,20266073989,75,0,0,0
635,20319268864,75,1,0,0
636,20355421983,75,0,0,0
637,20367532017,75,1,0,1
638,20384837940,75,0,0,0
639,20392574300,75,0,0,1
640,20400558047,75,0,0,7
641,20412700682,76,0,0,0
642,20412747776,76,1,0,0
643,20452945916,76,0,0,0
644,20599259319,76,0,0,0
645,20665537260,76,0,0,0
646,20669591164,77,0,0,1
647,20682162944,77,1,0,10
648,20769636221,77,0,0,0
649,20849888083,77,0,1,0
650,20858278919,77,0,0,0
651,20921198128,77,0,0,0
652,20935823359,77,0,0,2
653,20963600920,78,1,0,0
654,21069822205,78,0,0,0
655,21118353854,78,0,0,0
656,21140911447,78,0,0,0
657,21151789296,78,0,0,0
658,21206465567,79,0,0,0
659,21420801823,79,0,0,0
660,21429534780,79,1,0,0
661,21458108431,79,0,0,5
662,21472211084,79,0,0,1
663,21474835455,79,0,0,29
664,21592378615,80,0,0,0
665,21611282622,80,0,0,2
666,21625175103,80,0,1,0
667,21657288664,80,0,0,0
668,21743263807,80,1,0,5
669,21751923695,81,0,0,0
670,21757951455,81,0,0,0
671,21776828896,81,0,0,0
672,21802573978,81,0,0,0
673,21810331135,81,2,0,1
674,21861760895,81,1,0,2
675,21976020268,81,0,0,0
676,22010928495,81,0,0,0
677,22012241964,82,0,0,1
678,22056534018,82,0,0,1
679,22063055044,82,0,0,0
680,22064136303,82,0,0,0
681,22124438198,82,0,0,0
682,22145859711,82,1,0,2
683,22174625148,82,0,0,0
684,22225485627,82,0,0,0
685,22246596616,82,0,0,9
686,22279582151,82,0,0,2
687,22280684323,83,0,0,1
688,22292525184,83,0,0,1
689,22313720839,83,1,0,1
690,22327099327,83,0,0,0
691,22365076246,83,0,0,0
692,22394565744,83,0,0,0
693,22417475631,83,0,0,1
694,22481324031,83,1,0,0
695,22483566280,83,0,0,0
696,22506492691,83,0,0,0
697,22548407387,83,0,0,0
698,22549311884,84,0,0,0
699,22549577600,84,0,0,2
700,22582177024,84,0,0,2
701,22594718384,84,0,0,0
702,22598874111,84,0,0,0
703,22681942026,84,0,0,0
704,22682804354,84,0,0,5
705,22804389835,84,1,0,0
706,22813622079,84,0,1,5
707,22813881344,84,0,0,0
708,22817541760,85,0,1,0
709,22820220880,85,0,1,1
710,22833127359,85,0,0,1
711,22850711562,85,1,0,0
712,22883997744,85,0,0,0
713,23070411552,85,0,0,1
714,23072014351,85,0,1,3
715,23085980674,86,0,1,0
716,23086444031,86,0,0,1
717,23087542273,86,1,0,1
718,23186108511,86,0,0,1
719,23217340279,86,0,0,1
720,23217512446,86,1,0,1
721,23219945470,86,0,1,1
722,23292575776,86,1,0,0
723,23318222463,86,0,0,0
724,23333472126,86,0,0,0
725,23347281917,86,0,0,0
726,23351183099,86,0,0,0
727,23351656320,86,1,0,1
